reopen,min,max,last,change,change percent,date,persian_date
268390,267220,268390,267380,930,0.35%,1/10/2022,1400/10/20
268810,268230,268890,268310,580,0.22%,1/9/2022,1400/10/19
269880,268730,269900,268890,1010,0.38%,1/8/2022,1400/10/18
269760,269740,269900,269900,0,0,1/5/2022,1400/10/15
273860,269740,273950,269900,4050,1.50%,1/4/2022,1400/10/14
273860,273790,273950,273950,0,0,1/3/2022,1400/10/13
273990,273790,273990,273950,0,0,1/2/2022,1400/10/12
273950,273790,273950,273950,70,0.03%,1/1/2022,1400/10/11
274420,273790,274420,273880,450,0.16%,12/30/2021,1400/10/09
274340,274260,274420,274330,450,0.16%,12/29/2021,1400/10/08
273950,273860,274020,273880,140,0.05%,12/28/2021,1400/10/07
273950,273860,274020,274020,30,0.01%,12/27/2021,1400/10/06
273950,273860,274020,273990,30,0.01%,12/26/2021,1400/10/05
274000,273860,274020,274020,0,0,12/25/2021,1400/10/04
273970,273860,274020,274020,0,0,12/23/2021,1400/10/02
272850,272850,274020,274020,1010,0.37%,12/22/2021,1400/10/01
274020,272850,274020,273010,850,0.31%,12/21/2021,1400/09/30
273990,273860,274020,273860,160,0.06%,12/20/2021,1400/09/29
274350,273860,274420,274020,400,0.15%,12/19/2021,1400/09/28
274150,274060,274420,274420,250,0.09%,12/18/2021,1400/09/27
274220,274060,274220,274170,60,0.02%,12/16/2021,1400/09/25
274120,274050,274210,274110,30,0.01%,12/15/2021,1400/09/24
274650,274050,274690,274140,650,0.24%,12/14/2021,1400/09/23
276830,274630,276930,274790,2140,0.78%,12/13/2021,1400/09/22
276940,276770,276980,276930,20,0.01%,12/12/2021,1400/09/21
277160,276820,277160,276950,90,0.03%,12/11/2021,1400/09/20
277640,277000,277770,277040,730,0.26%,12/9/2021,1400/09/18
278160,277610,278240,277770,360,0.13%,12/8/2021,1400/09/17
278200,278080,278240,278130,110,0.04%,12/7/2021,1400/09/16
278720,278080,278720,278240,400,0.14%,12/6/2021,1400/09/15
279730,278560,279770,278640,1110,0.40%,12/5/2021,1400/09/14
273260,273130,280230,279750,6510,2.38%,12/4/2021,1400/09/13
266930,266860,273290,273240,7070,2.66%,12/2/2021,1400/09/11
260370,260230,266270,266170,22900,8.60%,12/1/2021,1400/09/10
288800,286550,292840,289070,2130,0.74%,11/30/2021,1400/09/09
293500,291200,293500,291200,17500,6.39%,11/29/2021,1400/09/08
281700,273470,281700,273700,8400,3.07%,11/28/2021,1400/09/07
286950,278070,287090,282100,5980,2.12%,11/27/2021,1400/09/06
289400,287650,289400,288080,2940,1.02%,11/25/2021,1400/09/04
286720,286600,292600,291020,5010,1.75%,11/24/2021,1400/09/03
284980,283850,286100,286010,2140,0.75%,11/23/2021,1400/09/02
282530,281850,284100,283870,910,0.32%,11/22/2021,1400/09/01
280320,280130,283400,282960,2190,0.78%,11/21/2021,1400/08/30
280350,280030,281080,280770,630,0.22%,11/20/2021,1400/08/29
279440,278730,279540,281400,1700,0.61%,11/18/2021,1400/08/27
279590,278890,279740,279700,230,0.08%,11/17/2021,1400/08/26
279710,278930,280370,279930,350,0.13%,11/16/2021,1400/08/25
283520,269700,283550,280280,4950,1.77%,11/15/2021,1400/08/24
286540,284900,287480,285230,1170,0.41%,11/14/2021,1400/08/23
284130,284100,287480,286400,2160,0.76%,11/13/2021,1400/08/22
283180,283100,284480,284240,580,0.20%,11/11/2021,1400/08/20
281760,281400,283880,283660,2600,0.93%,11/10/2021,1400/08/19
280230,280200,281780,281060,820,0.29%,11/9/2021,1400/08/18
279840,279700,281380,280240,330,0.12%,11/8/2021,1400/08/17
278010,277200,280080,279910,1670,0.60%,11/7/2021,1400/08/16
277460,277300,279580,278240,1730,0.63%,11/6/2021,1400/08/15
277280,276300,277280,276510,2460,0.89%,11/4/2021,1400/08/13
275920,275800,279280,278970,2960,1.07%,11/3/2021,1400/08/12
275150,275100,276080,276010,940,0.34%,11/2/2021,1400/08/11
275980,274700,276380,275070,680,0.25%,11/1/2021,1400/08/10
275390,274300,276080,275750,390,0.14%,10/31/2021,1400/08/09
276640,274100,276680,276140,430,0.16%,10/30/2021,1400/08/08
277020,276400,277080,276570,210,0.08%,10/28/2021,1400/08/06
275690,275400,278080,276780,1010,0.37%,10/27/2021,1400/08/05
275110,273900,275780,275770,150,0.05%,10/26/2021,1400/08/04
276530,275400,276780,275620,410,0.15%,10/25/2021,1400/08/03
274220,274100,276080,276030,1880,0.69%,10/23/2021,1400/08/01
273670,273500,274680,274150,1070,0.39%,10/21/2021,1400/07/29
274060,272610,274180,273080,1750,0.64%,10/20/2021,1400/07/28
273530,273400,275380,274830,2190,0.80%,10/19/2021,1400/07/27
271470,271100,273180,272640,820,0.30%,10/18/2021,1400/07/26
272840,271120,272980,271820,1030,0.38%,10/17/2021,1400/07/25
272810,271900,273280,272850,1980,0.73%,10/16/2021,1400/07/24
272380,270400,272480,270870,690,0.25%,10/14/2021,1400/07/22
270670,270100,272780,271560,830,0.31%,10/13/2021,1400/07/21
273440,269900,273680,270730,2600,0.96%,10/12/2021,1400/07/20
275730,272610,276080,273330,2480,0.91%,10/11/2021,1400/07/19
275620,274700,276280,275810,210,0.08%,10/10/2021,1400/07/18
279230,275500,279380,275600,3720,1.35%,10/9/2021,1400/07/17
281210,279100,281680,279320,2040,0.73%,10/6/2021,1400/07/14
279950,279650,281680,281360,0,0,10/4/2021,1400/07/12
281560,279450,281610,280410,1600,0.57%,10/3/2021,1400/07/11
282980,281150,283510,282010,2700,0.96%,10/2/2021,1400/07/10
283160,282550,284710,284710,2200,0.78%,9/30/2021,1400/07/08
281490,281270,283210,282510,1800,0.64%,9/29/2021,1400/07/07
277590,277550,280710,280710,3900,1.41%,9/28/2021,1400/07/06
275390,275350,276910,276810,1200,0.44%,9/26/2021,1400/07/04
276480,274850,276810,275610,1200,0.44%,9/25/2021,1400/07/03
275270,275050,276810,276810,1600,0.58%,9/23/2021,1400/07/01
274610,274450,276110,275210,1180,0.43%,9/22/2021,1400/06/31
